audio_path,stim_list,stimulus_path_list
data/stimuli/apr132026_visual_benefits/noisy/ALONG_DANIELLE_-4dB.wav,ALONG_DANIELLE_-4dB,data/stimuli/apr132026_visual_benefits/noisy/ALONG_DANIELLE_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/KNOCK_KRISTEN_-4dB.wav,KNOCK_KRISTEN_-4dB,data/stimuli/apr132026_visual_benefits/noisy/KNOCK_KRISTEN_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/SEIZURE_HEIDI_-4dB.wav,SEIZURE_HEIDI_-4dB,data/stimuli/apr132026_visual_benefits/noisy/SEIZURE_HEIDI_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/CHAT_HEIDI_-4dB.wav,CHAT_HEIDI_-4dB,data/stimuli/apr132026_visual_benefits/noisy/CHAT_HEIDI_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/USHER_JOHN_-4dB.wav,USHER_JOHN_-4dB,data/stimuli/apr132026_visual_benefits/noisy/USHER_JOHN_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/MATURE_LIN_-4dB.wav,MATURE_LIN_-4dB,data/stimuli/apr132026_visual_benefits/noisy/MATURE_LIN_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/ETHIC_JOHN_-4dB.wav,ETHIC_JOHN_-4dB,data/stimuli/apr132026_visual_benefits/noisy/ETHIC_JOHN_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/SHROUD_KRISTEN_-4dB.wav,SHROUD_KRISTEN_-4dB,data/stimuli/apr132026_visual_benefits/noisy/SHROUD_KRISTEN_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/SPOUT_DANIELLE_-4dB.wav,SPOUT_DANIELLE_-4dB,data/stimuli/apr132026_visual_benefits/noisy/SPOUT_DANIELLE_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/EYEBROW_KRISTEN_-4dB.wav,EYEBROW_KRISTEN_-4dB,data/stimuli/apr132026_visual_benefits/noisy/EYEBROW_KRISTEN_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/YELLOW_JOHN_-4dB.wav,YELLOW_JOHN_-4dB,data/stimuli/apr132026_visual_benefits/noisy/YELLOW_JOHN_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/JURY_DANIELLE_-4dB.wav,JURY_DANIELLE_-4dB,data/stimuli/apr132026_visual_benefits/noisy/JURY_DANIELLE_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/MODULE_PATRICK_-4dB.wav,MODULE_PATRICK_-4dB,data/stimuli/apr132026_visual_benefits/noisy/MODULE_PATRICK_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/BUREAU_CAMERON_-4dB.wav,BUREAU_CAMERON_-4dB,data/stimuli/apr132026_visual_benefits/noisy/BUREAU_CAMERON_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/DEPTH_JAMES_-4dB.wav,DEPTH_JAMES_-4dB,data/stimuli/apr132026_visual_benefits/noisy/DEPTH_JAMES_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/MONKEY_JOHN_-4dB.wav,MONKEY_JOHN_-4dB,data/stimuli/apr132026_visual_benefits/noisy/MONKEY_JOHN_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/HOOVES_DERRICK_-4dB.wav,HOOVES_DERRICK_-4dB,data/stimuli/apr132026_visual_benefits/noisy/HOOVES_DERRICK_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/ROUGE_JOHN_-4dB.wav,ROUGE_JOHN_-4dB,data/stimuli/apr132026_visual_benefits/noisy/ROUGE_JOHN_-4dB.mp4
data/stimuli/apr132026_visual_benefits/noisy/INVOICE_LIN_-4dB.wav,INVOICE_LIN_-4dB,data/stimuli/apr132026_visual_benefits/noisy/INVOICE_LIN_-4dB.mp4
