audio_path,stim_list,stimulus_path_list
visual_benefit/AUDIO_all_16k/HOIST_JOHN_a.wav,HOIST_JOHN_-12dB,visual_benefit/Sep20_Izzie2024/HOIST_JOHN_-12dB.mp4
visual_benefit/AUDIO_all_16k/CASHMERE_LIN_a.wav,CASHMERE_LIN_-12dB,visual_benefit/Sep20_Izzie2024/CASHMERE_LIN_-12dB.mp4
visual_benefit/AUDIO_all_16k/MOUTHS_LIN_a.wav,MOUTHS_LIN_-12dB,visual_benefit/Sep20_Izzie2024/MOUTHS_LIN_-12dB.mp4
visual_benefit/AUDIO_all_16k/DEPTH_JOHN_a.wav,DEPTH_JOHN_-12dB,visual_benefit/Sep20_Izzie2024/DEPTH_JOHN_-12dB.mp4
visual_benefit/AUDIO_all_16k/FEATHERS_JOHN_a.wav,FEATHERS_JOHN_-12dB,visual_benefit/Sep20_Izzie2024/FEATHERS_JOHN_-12dB.mp4
visual_benefit/AUDIO_all_16k/THOUGHTS_LIN_a.wav,THOUGHTS_LIN_-12dB,visual_benefit/Sep20_Izzie2024/THOUGHTS_LIN_-12dB.mp4
visual_benefit/AUDIO_all_16k/NOISY_JOHN_a.wav,NOISY_JOHN_-12dB,visual_benefit/Sep20_Izzie2024/NOISY_JOHN_-12dB.mp4
visual_benefit/AUDIO_all_16k/HEAVY_LIN_a.wav,HEAVY_LIN_-12dB,visual_benefit/Sep20_Izzie2024/HEAVY_LIN_-12dB.mp4
visual_benefit/AUDIO_all_16k/COWBOY_JOHN_a.wav,COWBOY_JOHN_-12dB,visual_benefit/Sep20_Izzie2024/COWBOY_JOHN_-12dB.mp4
visual_benefit/AUDIO_all_16k/SPOUT_LIN_a.wav,SPOUT_LIN_-12dB,visual_benefit/Sep20_Izzie2024/SPOUT_LIN_-12dB.mp4
visual_benefit/AUDIO_all_16k/ROUGE_JOHN_a.wav,ROUGE_JOHN_-12dB,visual_benefit/Sep20_Izzie2024/ROUGE_JOHN_-12dB.mp4
visual_benefit/AUDIO_all_16k/OPTION_LIN_a.wav,OPTION_LIN_-12dB,visual_benefit/Sep20_Izzie2024/OPTION_LIN_-12dB.mp4
visual_benefit/AUDIO_all_16k/PLEASURE_LIN_a.wav,PLEASURE_LIN_-12dB,visual_benefit/Sep20_Izzie2024/PLEASURE_LIN_-12dB.mp4
